Company,CurrentStockCount,CurrentStockAskingValue,MedianCurrentAskingPrice,MedianPublicListingAgeDays,P75PublicListingAgeDays,FreshStockCount,NormalStockCount,AboveTypicalAgeCount,AgedStockCount,VeryAgedStockCount,LowPricePositionCount,MidMarketPriceCount,HighPricePositionCount,InsufficientPriceComparisonCount,WatchStockCount,AttentionStockCount,HighAttentionStockCount,DistinctBrands,DistinctModels,HistoricalDistinctListings,HistoricalObservedMarketExits,HistoricalMedianObservedDaysToExit,HistoricalPriceReductionEligibleListings,HistoricalPriceReductionListings,HistoricalPriceReductionRate,PublicListingAgeDefinition,HistoricalExitDefinition
Royalking Motors,11,300600.0,10900.0,71.0,71.0,1,0,2,3,4,5,2,2,1,2,7,0,7,11,21,9,57.0,10,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Vardem Oto,11,228398.0,19000.0,67.0,159.5,3,1,1,0,4,4,2,0,3,3,4,0,8,10,19,8,51.5,19,9,0.47368421052631576,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
İYS Motors,11,695838.0,25900.0,233.0,233.0,2,0,0,0,9,3,1,2,1,2,7,2,6,10,26,15,79.0,19,1,0.05263157894736842,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
3K AUTOS,10,255500.0,25000.0,195.0,207.5,0,0,0,0,10,0,2,2,0,0,8,2,3,8,30,20,71.0,20,3,0.15,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Ahel Oto,10,173900.0,21000.0,115.5,139.75,1,0,0,3,4,3,1,3,2,0,4,3,6,8,18,8,43.5,16,8,0.5,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Atak Oto Galeri,10,296899.0,19449.5,36.5,37.0,2,0,5,1,2,2,0,3,1,5,2,2,7,10,39,28,84.0,17,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Carcy Motors,10,196400.0,17000.0,207.5,260.0,0,1,2,0,7,1,4,4,0,1,6,2,6,8,36,26,164.0,8,2,0.25,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Dümenci Motors,10,163500.0,15750.0,133.0,260.0,0,0,2,2,6,1,0,2,2,1,8,1,7,8,36,26,32.0,23,5,0.21739130434782608,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
E-Garaj Kıbrıs,10,217000.0,20500.0,221.5,239.0,0,0,2,0,8,0,4,2,1,2,6,2,5,9,26,15,87.0,16,7,0.4375,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
ENN-CAR CAR SALES LTD.,10,76241.0,6374.0,87.5,140.0,1,2,2,0,5,4,0,2,1,1,7,0,5,8,72,60,35.0,60,31,0.5166666666666667,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Kamil Aydıç Oto Galeri,10,311700.0,28500.0,43.0,49.25,1,3,5,0,0,1,2,4,1,4,2,0,5,8,28,18,26.5,23,2,0.08695652173913043,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
M DENİZ MOTORS,10,117750.0,8500.0,15.0,94.0,2,4,0,0,4,2,2,1,0,0,4,0,6,8,29,19,40.0,29,4,0.13793103448275862,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
M. Cangil Auto Trading Ltd.,10,104100.0,9950.0,39.5,206.0,1,0,2,0,1,0,2,2,6,2,0,1,6,9,96,84,68.5,46,13,0.2826086956521739,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Sezer Çokyaşar Auto,10,181600.0,16625.0,22.0,25.75,2,6,1,0,0,5,2,0,1,4,0,0,8,10,20,10,17.0,20,5,0.25,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
TRUST MOTORS LTD,10,168000.0,12000.0,75.0,81.0,0,0,2,1,4,1,1,2,1,3,3,2,6,9,31,21,35.0,24,4,0.16666666666666666,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Özok Otomotiv 2. El,10,202000.0,17000.0,56.5,57.0,0,1,3,0,2,1,0,0,5,3,2,0,5,9,12,2,4.0,12,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Aras Cars,9,267800.0,19900.0,142.0,181.0,1,0,1,0,6,0,3,0,2,1,6,0,7,9,36,27,39.0,29,14,0.4827586206896552,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
As Cars ltd.,9,111300.0,13500.0,25.0,25.0,2,3,4,0,0,2,2,0,1,7,0,0,5,7,11,2,13.0,10,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Asg Motors,9,146900.0,19000.0,76.0,180.0,2,1,2,0,0,3,2,0,2,2,0,0,7,9,21,11,54.0,21,2,0.09523809523809523,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Auto21,9,464000.0,46000.0,260.0,260.0,0,0,1,0,8,0,1,6,0,1,2,6,3,6,12,3,167.0,4,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Aydın Automotive,9,195780.0,14900.0,200.0,260.0,0,0,2,0,6,0,1,5,1,2,3,3,8,9,31,21,58.0,21,1,0.047619047619047616,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Bafe,9,99247.0,11000.0,21.0,21.0,2,4,1,0,1,4,2,1,1,2,1,0,7,8,15,6,13.5,15,5,0.3333333333333333,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
KASİDO AUTO,9,60900.0,4250.0,127.0,207.0,1,2,0,0,6,4,0,2,1,1,4,2,7,9,64,55,27.0,49,7,0.14285714285714285,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
